epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.301,3.48517,4.5236,4.18968,0.0005,0.05069,0.00032,9e-05,2.91413,4.56479,4.07032,0.000412234,0.000412234,0.000412234
2,894.879,3.31093,4.19055,3.8638,0.25672,0.09149,0.00318,0.00089,2.96407,30.1216,3.99245,0.000812488,0.000812488,0.000812488
3,1365.53,3.21444,3.9038,3.50632,0.01647,0.17672,0.00831,0.00283,2.98436,6.10383,3.62846,0.00119624,0.00119624,0.00119624
4,1828.01,3.09022,3.8542,3.29986,0.01769,0.09798,0.01286,0.00332,2.70808,5.04078,3.08864,0.00117575,0.00117575,0.00117575
5,2283.59,2.96208,3.61562,3.10703,0.1718,0.09256,0.06937,0.02234,2.63748,4.33206,3.02083,0.001151,0.001151,0.001151
6,2757.65,2.74661,3.51676,2.95273,0.45785,0.13395,0.09046,0.02618,2.43043,3.55246,2.83853,0.00112625,0.00112625,0.00112625
7,3207.95,2.65915,3.35638,2.84945,0.34078,0.17397,0.09827,0.0314,2.36948,3.58974,2.76585,0.0011015,0.0011015,0.0011015
8,3597.71,2.54322,3.13715,2.75572,0.34686,0.23618,0.10624,0.03697,2.32534,3.38705,2.79039,0.00107675,0.00107675,0.00107675
9,4017.19,2.40144,3.06346,2.65077,0.23943,0.16759,0.13698,0.04839,2.20881,3.14937,2.69287,0.001052,0.001052,0.001052
10,4433.98,2.2852,2.9834,2.56896,0.39818,0.26313,0.17352,0.07269,2.17166,2.96082,2.61363,0.00102725,0.00102725,0.00102725
11,4863.1,2.26578,2.92199,2.53954,0.50858,0.22994,0.17826,0.07538,2.06902,3.05413,2.53856,0.0010025,0.0010025,0.0010025
12,5235.07,2.15657,2.78604,2.45817,0.58279,0.23632,0.23278,0.09567,2.04604,2.76473,2.48974,0.00097775,0.00097775,0.00097775
13,5621.31,2.15424,2.7142,2.41266,0.61537,0.26365,0.23813,0.10884,1.99746,2.85621,2.38729,0.000953,0.000953,0.000953
14,5995.96,2.12498,2.74239,2.40354,0.51506,0.24809,0.22163,0.10453,2.04346,2.7209,2.40961,0.00092825,0.00092825,0.00092825
15,6368.85,2.10134,2.64263,2.33492,0.42496,0.33432,0.25186,0.1244,1.96352,2.63194,2.3191,0.0009035,0.0009035,0.0009035
16,6742.54,2.01546,2.54082,2.28664,0.24893,0.32993,0.2148,0.10133,1.97198,2.72133,2.36581,0.00087875,0.00087875,0.00087875
17,7116.07,2.00619,2.50693,2.26287,0.45872,0.35663,0.33845,0.16773,1.90996,2.40275,2.28175,0.000854,0.000854,0.000854
18,7490.78,1.96318,2.45875,2.2415,0.38092,0.35073,0.26911,0.13903,1.81493,2.56016,2.25312,0.00082925,0.00082925,0.00082925
19,7862.11,1.95855,2.44203,2.2224,0.4031,0.3278,0.25551,0.12999,1.8365,2.50478,2.24255,0.0008045,0.0008045,0.0008045
20,8237.87,1.92156,2.41311,2.1888,0.36661,0.28881,0.28434,0.14595,1.83529,2.51291,2.19394,0.00077975,0.00077975,0.00077975
21,8605.47,1.9169,2.37711,2.17797,0.40484,0.38336,0.30106,0.15734,1.84295,2.37839,2.23498,0.000755,0.000755,0.000755
22,8973.07,1.89388,2.34904,2.14993,0.49858,0.36199,0.3403,0.18105,1.75189,2.48757,2.16185,0.00073025,0.00073025,0.00073025
23,9333.91,1.85569,2.31598,2.15741,0.51096,0.38034,0.31681,0.16559,1.79648,2.42943,2.23319,0.0007055,0.0007055,0.0007055
24,9700.75,1.88969,2.30459,2.14769,0.47787,0.35761,0.28947,0.15697,1.78703,2.39115,2.11325,0.00068075,0.00068075,0.00068075
25,10088.7,1.87304,2.26637,2.12562,0.67215,0.30494,0.33455,0.18646,1.74175,2.3741,2.17059,0.000656,0.000656,0.000656
26,10457.3,1.86405,2.20868,2.11148,0.52134,0.38308,0.36291,0.20254,1.71498,2.1741,2.10054,0.00063125,0.00063125,0.00063125
27,10828.3,1.79773,2.17111,2.07103,0.5126,0.37242,0.38187,0.20529,1.7198,2.21189,2.11503,0.0006065,0.0006065,0.0006065
28,11191,1.79414,2.11411,2.06256,0.46206,0.41722,0.39866,0.22975,1.70176,2.13524,2.06,0.00058175,0.00058175,0.00058175
29,11553.8,1.79248,2.13451,2.04927,0.494,0.41892,0.3692,0.21765,1.70854,2.19621,2.11084,0.000557,0.000557,0.000557
30,11931.7,1.79965,2.1541,2.06331,0.62752,0.40331,0.40556,0.23227,1.67343,2.20656,2.07543,0.00053225,0.00053225,0.00053225
31,12299.3,1.79087,2.17159,2.03977,0.47535,0.42879,0.39246,0.21255,1.73516,2.27494,2.13726,0.0005075,0.0005075,0.0005075
32,12661.4,1.74794,2.074,2.03445,0.51478,0.40914,0.38685,0.23163,1.68565,2.24916,2.05882,0.00048275,0.00048275,0.00048275
33,13027.3,1.7552,2.08389,2.02723,0.52488,0.42804,0.41098,0.23297,1.68343,2.08606,2.10271,0.000458,0.000458,0.000458
34,13390.8,1.72873,2.04665,2.01115,0.57555,0.41384,0.41389,0.24103,1.6714,2.08051,2.06075,0.00043325,0.00043325,0.00043325
35,13767.5,1.72783,1.98248,1.99331,0.49236,0.41748,0.40118,0.22995,1.73694,2.16497,2.11175,0.0004085,0.0004085,0.0004085
36,14132.2,1.74866,2.0464,2.01384,0.51377,0.43778,0.43391,0.25422,1.59614,2.09357,2.00171,0.00038375,0.00038375,0.00038375
37,14498.6,1.70604,1.97648,1.95797,0.61637,0.42171,0.43115,0.24122,1.67645,2.08317,2.05144,0.000359,0.000359,0.000359
38,14852.3,1.71864,1.97965,1.97392,0.56681,0.44998,0.42895,0.25253,1.65583,2.01736,2.02176,0.00033425,0.00033425,0.00033425
39,15206.9,1.66679,1.9054,1.93888,0.61923,0.42481,0.43562,0.2603,1.64561,2.08678,2.01988,0.0003095,0.0003095,0.0003095
40,15573.5,1.69434,1.94424,1.96294,0.6518,0.37864,0.45043,0.26894,1.65531,2.04485,2.0186,0.00028475,0.00028475,0.00028475
41,15984.7,1.59086,1.92068,1.90518,0.59175,0.36871,0.42855,0.25578,1.60945,2.05861,2.00471,0.00026,0.00026,0.00026
42,16357.7,1.56441,1.81264,1.89069,0.52308,0.48895,0.45932,0.27686,1.59787,2.01752,1.98986,0.00023525,0.00023525,0.00023525
43,16721.9,1.52558,1.72423,1.85905,0.55499,0.44441,0.43255,0.26246,1.61104,2.04584,1.99155,0.0002105,0.0002105,0.0002105
44,17085.3,1.53143,1.71762,1.86658,0.58953,0.47802,0.47244,0.28213,1.62534,1.94825,1.9924,0.00018575,0.00018575,0.00018575
45,17445.8,1.52145,1.69174,1.8487,0.6617,0.43309,0.47337,0.28665,1.61658,1.98056,2.002,0.000161,0.000161,0.000161
46,17808.4,1.48843,1.63351,1.82095,0.55764,0.49687,0.4925,0.28788,1.61724,1.93066,2.01553,0.00013625,0.00013625,0.00013625
47,18158.7,1.49733,1.65841,1.83648,0.61568,0.47506,0.47254,0.28911,1.59321,1.91112,1.99155,0.0001115,0.0001115,0.0001115
48,18518,1.51102,1.63234,1.82187,0.7064,0.43438,0.48042,0.29488,1.60334,1.93513,1.96034,8.675e-05,8.675e-05,8.675e-05
49,18876.9,1.47353,1.61717,1.80216,0.50792,0.53254,0.48692,0.29552,1.5801,1.95891,1.9605,6.2e-05,6.2e-05,6.2e-05
50,19234,1.47371,1.61968,1.81908,0.48997,0.53121,0.49482,0.30306,1.56944,1.90607,1.95702,3.725e-05,3.725e-05,3.725e-05
