epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.659,3.40858,4.50702,4.1931,0.00038,0.03562,0.00059,0.00011,2.93605,4.5913,4.14007,0.000407801,0.000407801,0.000407801
2,399.662,3.31135,4.12138,3.87019,0.00057,0.0661,0.00073,0.00014,3.10048,4.73306,4.28078,0.000811911,0.000811911,0.000811911
3,592.58,3.14399,3.94177,3.53829,0.25379,0.17143,0.00562,0.00207,2.97716,4.95056,3.45471,0.00120333,0.00120333,0.00120333
4,786.985,3.01489,3.78129,3.25545,0.00728,0.26562,0.00841,0.0021,2.78006,6.47935,3.24579,0.00119288,0.00119288,0.00119288
5,979.569,2.9291,3.57739,3.10967,0.29249,0.13468,0.02671,0.00782,2.64531,4.59762,2.99565,0.00117385,0.00117385,0.00117385
6,1167.18,2.78708,3.45513,2.95104,0.00891,0.23173,0.00595,0.00195,2.651,4.12587,3.14281,0.00115481,0.00115481,0.00115481
7,1355.63,2.64357,3.3711,2.83654,0.55006,0.03839,0.03601,0.01363,2.38566,4.50354,2.73048,0.00113577,0.00113577,0.00113577
8,1540.82,2.50869,3.1904,2.74051,0.18758,0.22399,0.08917,0.02987,2.30802,3.37457,2.68004,0.00111673,0.00111673,0.00111673
9,1725.76,2.39401,3.12345,2.61227,0.53085,0.16472,0.12145,0.0468,2.18011,3.54386,2.6083,0.00109769,0.00109769,0.00109769
10,1910.89,2.29472,2.98267,2.53859,0.3934,0.22457,0.11306,0.03911,2.22296,3.19742,2.64206,0.00107865,0.00107865,0.00107865
11,2095.78,2.28408,2.9908,2.50678,0.42862,0.20325,0.11674,0.04328,2.12735,3.11075,2.539,0.00105962,0.00105962,0.00105962
12,2281.68,2.22871,2.93483,2.46587,0.3498,0.25595,0.16012,0.06801,2.12716,3.22061,2.50471,0.00104058,0.00104058,0.00104058
13,2469.64,2.19465,2.81813,2.4323,0.46077,0.24915,0.18162,0.07743,2.12556,3.21114,2.48369,0.00102154,0.00102154,0.00102154
14,2654,2.13761,2.7733,2.39283,0.4754,0.30105,0.22288,0.09752,2.06204,2.73935,2.44087,0.0010025,0.0010025,0.0010025
15,2840.55,2.09072,2.70372,2.36206,0.27903,0.25451,0.17624,0.0812,2.04991,2.89431,2.42743,0.000983462,0.000983462,0.000983462
16,3030.02,2.05387,2.64214,2.29952,0.31721,0.27568,0.20061,0.09641,1.96259,2.71633,2.37614,0.000964423,0.000964423,0.000964423
17,3215,2.04964,2.6409,2.30529,0.23249,0.32198,0.20426,0.10009,1.99471,2.78419,2.40259,0.000945385,0.000945385,0.000945385
18,3399.89,2.05271,2.62307,2.30626,0.2533,0.30931,0.22876,0.11299,1.99228,2.85853,2.33364,0.000926346,0.000926346,0.000926346
19,3585.68,2.00194,2.55693,2.2522,0.30622,0.29291,0.23805,0.1229,1.98307,2.61346,2.32384,0.000907308,0.000907308,0.000907308
20,3774.28,1.99385,2.49881,2.24013,0.27124,0.354,0.23701,0.11665,1.91641,2.68544,2.26715,0.000888269,0.000888269,0.000888269
21,3960.47,1.97269,2.4901,2.19846,0.37699,0.38084,0.27217,0.1297,1.87294,2.44603,2.20735,0.000869231,0.000869231,0.000869231
22,4146.08,1.98445,2.45862,2.20539,0.50664,0.35484,0.278,0.13224,1.91804,2.79559,2.26131,0.000850192,0.000850192,0.000850192
