epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.657,3.43363,4.51711,4.19395,0.00045,0.04009,0.00217,0.00026,2.94256,4.59741,4.15028,0.000407801,0.000407801,0.000407801
2,400.125,3.30223,4.23031,3.91147,0.00033,0.03081,0.00025,7e-05,3.13071,4.83688,4.23962,0.000808144,0.000808144,0.000808144
3,608.159,3.18452,3.93985,3.51391,0.50509,0.08216,0.00268,0.00069,2.88725,4.68964,3.93042,0.00119199,0.00119199,0.00119199
4,821.645,3.04119,3.82483,3.27405,0.26205,0.23586,0.0225,0.00594,2.69379,4.01929,3.14232,0.00117575,0.00117575,0.00117575
5,1042.21,2.91727,3.64016,3.05517,0.2971,0.05604,0.02197,0.00512,2.62898,4.89367,2.99516,0.001151,0.001151,0.001151
6,1265.15,2.78763,3.51767,2.92865,0.51434,0.094,0.02143,0.00508,2.56795,4.3487,2.93751,0.00112625,0.00112625,0.00112625
7,1457.68,2.65757,3.36994,2.84376,0.01598,0.06804,0.01069,0.00425,2.60861,6.58185,2.98567,0.0011015,0.0011015,0.0011015
8,1641.48,2.59627,3.23471,2.75681,0.63175,0.04547,0.06976,0.02206,2.36441,3.66408,2.92207,0.00107675,0.00107675,0.00107675
9,1820.34,2.47152,3.17497,2.68325,0.11188,0.07353,0.02937,0.00927,2.37923,3.79251,2.99773,0.001052,0.001052,0.001052
10,1998.69,2.36049,3.0366,2.59866,0.37517,0.26758,0.13179,0.04463,2.3883,3.52708,2.78734,0.00102725,0.00102725,0.00102725
11,2177.56,2.32538,2.96709,2.53868,0.40818,0.23471,0.12234,0.04679,2.27891,3.24015,2.59126,0.0010025,0.0010025,0.0010025
12,2355.56,2.19889,2.92809,2.46141,0.33083,0.21753,0.08901,0.03486,2.14233,3.81425,2.50631,0.00097775,0.00097775,0.00097775
13,2534.79,2.19316,2.83609,2.41918,0.40326,0.27751,0.10609,0.03717,2.22935,4.23796,2.54494,0.000953,0.000953,0.000953
14,2712.77,2.17727,2.80557,2.39534,0.43281,0.31204,0.1903,0.08889,2.0801,3.3089,2.41336,0.00092825,0.00092825,0.00092825
15,2891.75,2.1401,2.6815,2.3374,0.49243,0.31455,0.22957,0.10434,2.07718,3.00836,2.39732,0.0009035,0.0009035,0.0009035
16,3069.01,2.09227,2.63941,2.29827,0.46777,0.31196,0.21215,0.09639,2.07673,2.73659,2.35756,0.00087875,0.00087875,0.00087875
17,3246.28,2.05357,2.61148,2.29337,0.23083,0.23352,0.17558,0.07934,2.07535,2.82695,2.41436,0.000854,0.000854,0.000854
18,3424.33,2.0316,2.55828,2.25706,0.31821,0.36501,0.28806,0.14647,1.89732,2.68877,2.17606,0.00082925,0.00082925,0.00082925
19,3602.15,2.01489,2.47225,2.22103,0.52354,0.37018,0.25439,0.12257,2.01233,2.85509,2.26459,0.0008045,0.0008045,0.0008045
20,3779.82,2.00151,2.45475,2.19885,0.23278,0.28673,0.15565,0.07711,2.00568,2.88299,2.32389,0.00077975,0.00077975,0.00077975
21,3957.58,1.95556,2.45219,2.1916,0.29083,0.33806,0.26376,0.13172,1.93954,2.77694,2.20343,0.000755,0.000755,0.000755
